name,id,stream_url
beIN Sports 4 Arabic,94,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJNU5DSXNJblJ6SWpveE56Z3dNRFkzT1RrNE1qVTJmUQ
beIN Sports 5 Arabic,95,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJNU5TSXNJblJ6SWpveE56Z3dNRFk0TURBeE16SXlmUQ
beIN Sports 6 Arabic,96,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJNU5pSXNJblJ6SWpveE56Z3dNRFk0TURBME5UQTBmUQ
beIN Sports 7 Arabic,97,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJNU55SXNJblJ6SWpveE56Z3dNRFk0TURBM09UVTBmUQ
beIN Sports 8 Arabic,98,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJNU9DSXNJblJ6SWpveE56Z3dNRFk0TURFeE5EUTBmUQ
beIN Sports 9 Arabic,99,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJNU9TSXNJblJ6SWpveE56Z3dNRFk0TURFMU5ETXlmUQ
beIN SPORTS XTRA 1,100,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJeE1EQWlMQ0owY3lJNk1UYzRNREEyT0RBeE9EZzBPSDA
beIN Sports MAX 4 France,494,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJME9UUWlMQ0owY3lJNk1UYzRNREEyT0RBeU1UZzVPSDA
beIN Sports MAX 5 France,495,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJME9UVWlMQ0owY3lJNk1UYzRNREEyT0RBeU5UQTFNMzA
beIN Sports MAX 6 France,496,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJME9UWWlMQ0owY3lJNk1UYzRNREEyT0RBeU9UTTNOSDA
beIN Sports MAX 7 France,497,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJME9UY2lMQ0owY3lJNk1UYzRNREEyT0RBek1qTXlNSDA
beIN Sports MAX 8 France,498,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJME9UZ2lMQ0owY3lJNk1UYzRNREEyT0RBek5UUXpOMzA
beIN Sports MAX 9 France,499,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJME9Ua2lMQ0owY3lJNk1UYzRNREEyT0RBek9EUXpOMzA
beIN Sports MAX 10 France,500,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJMU1EQWlMQ0owY3lJNk1UYzRNREEyT0RBME1UUXpOWDA
beIN SPORTS 1 France,116,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJeE1UWWlMQ0owY3lJNk1UYzRNREEyT0RBME5EUXdPWDA
beIN SPORTS 2 France,117,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJeE1UY2lMQ0owY3lJNk1UYzRNREEyT0RBME56SXhNWDA
beIN SPORTS 3 France,118,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJeE1UZ2lMQ0owY3lJNk1UYzRNREEyT0RBMU1EVTNObjA
beIN SPORTS 1 Turkey,62,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJMk1pSXNJblJ6SWpveE56Z3dNRFk0TURVME1UUTRmUQ
beIN SPORTS 2 Turkey,63,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJMk15SXNJblJ6SWpveE56Z3dNRFk0TURVM01EQXhmUQ
beIN SPORTS 3 Turkey,64,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJMk5DSXNJblJ6SWpveE56Z3dNRFk0TURZd016a3lmUQ
